순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,"좋은 놈, 나쁜 놈, 이상한 놈",2008.7.17,"43,747,552,000",4.6%,"6,684,933",824,"93,477",한국,한국,씨제이엔터테인먼트
2,추격자,2008.2.14,"33,986,959,000",3.5%,"5,046,096",433,"106,805",한국,한국,(주)쇼박스
3,쿵푸 팬더,2008.6.5,"29,996,476,000",3.1%,"4,653,929",563,"79,850",미국,미국,씨제이엔터테인먼트
4,맘마미아!,2008.9.3,"29,571,255,750",3.1%,"4,552,475",451,"111,024",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
5,과속스캔들,2008.12.3,"28,506,879,500",3.0%,"4,361,509",408,"62,296",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
6,강철중: 공공의 적 1-1,2008.6.19,"28,638,460,100",3.0%,"4,313,101",707,"74,157",한국,한국,"씨제이엔터테인먼트,(주)시네마서비스"
7,아이언맨,2008.4.30,"27,798,047,000",2.9%,"4,290,816",592,"77,942",미국,미국,씨제이엔터테인먼트
8,인디아나 존스 4 : 크리스탈 해골의 왕국,2008.5.22,"26,689,440,000",2.8%,"4,111,753",771,"75,393",미국,미국,씨제이엔터테인먼트
9,미이라 3:황제의 무덤,2008.7.30,"26,217,311,000",2.7%,"4,090,885",634,"64,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
10,다크 나이트,2008.8.6,"26,878,184,500",2.8%,"4,060,490",462,"63,561",미국,미국,워너브러더스 코리아(주)
11,우리 생애 최고의 순간,2008.1.10,"26,113,394,000",2.7%,"4,018,059",418,"70,721",한국,한국,(주)싸이더스
12,신기전,2008.9.4,"24,326,353,000",2.5%,"3,728,430",585,"78,462",한국,한국,씨제이엔터테인먼트
13,원티드,2008.6.26,"19,249,245,000",2.0%,"2,858,720",512,"55,001",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
14,핸콕,2008.7.2,"17,844,690,500",1.9%,"2,722,574",602,"60,236",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
15,테이큰,2008.4.9,"15,971,449,000",1.7%,"2,359,061",256,"60,944",프랑스,프랑스,㈜스튜디오이쩜영
16,미인도,2008.11.13,"15,652,272,500",1.6%,"2,341,521",450,"69,444",한국,한국,씨제이엔터테인먼트
17,이글 아이,2008.10.9,"14,869,812,500",1.5%,"2,292,172",407,"59,132",미국,미국,씨제이엔터테인먼트
18,007 퀀텀 오브 솔러스,2008.11.5,"14,389,307,000",1.5%,"2,205,159",520,"70,774",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
19,눈에는 눈 이에는 이,2008.7.31,"13,410,811,500",1.4%,"2,058,616",445,"46,474",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
20,아내가 결혼했다,2008.10.23,"12,062,180,000",1.3%,"1,799,447",417,"57,496",한국,한국,씨제이엔터테인먼트
21,님은 먼 곳에,2008.7.24,"11,205,439,000",1.2%,"1,706,037",499,"36,555",한국,"한국,태국",(주)쇼박스
22,점퍼,2008.2.14,"10,943,088,000",1.1%,"1,665,268",350,"43,335",미국,미국,이십세기폭스필름코퍼레이션
23,고死 : 피의 중간고사,2008.8.7,"10,300,791,000",1.1%,"1,634,192",270,"42,719",한국,한국,에스케이텔레콤(주)
24,무방비도시,2008.1.10,"10,591,149,500",1.1%,"1,600,856",336,"38,306",한국,한국,씨제이엔터테인먼트
25,적벽대전:거대한 전쟁의 시작,2008.7.10,"10,192,112,500",1.1%,"1,570,703",447,"32,719",중국,중국,(주)쇼박스
26,원스어폰어타임,2008.1.31,"10,136,738,500",1.1%,"1,544,486",314,"37,679",한국,한국,(유)씨에이치엔터테인먼트
27,더 게임,2008.1.30,"9,807,963,501",1.0%,"1,479,859",338,"31,877",한국,한국,
28,나니아 연대기:캐스피언 왕자,2008.5.15,"9,236,619,000",1.0%,"1,468,903",604,"43,010",미국,"미국,영국",한국소니픽쳐스릴리징브에나비스타영화㈜
29,월ㆍE,2008.8.6,"8,289,679,500",0.9%,"1,325,834",347,"32,819",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
