,movieCd,movieNm,director,openDt,prdtYear,repNationNm,repGenreNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,companyNm
0,20030371,태극기 휘날리며,강제규,20040205,2004,한국,전쟁,148,15세관람가,장동건,원빈,이은주,강제규필름
1,20040555,트로이,볼프강 페터젠,20040521,2004,미국,사극,136,15세관람가,다이앤 크루거,올랜도 블룸,에릭 바나,플랜 비 엔터테인먼트
2,20090263,디트로이트 메탈 시티,리 토시오 ,20090521,2008,일본,코미디,103,15세이상관람가,호소다 요시히코,마츠야마 켄이치,,토호 컴퍼니
3,20040673,내 머리 속의 지우개,이재한,20041105,2004,한국,멜로/로맨스,117,12세관람가,정우성,손예진,데이비드 맥기니스,(주)싸이더스
4,20040649,귀신이 산다,김상진,20040917,2004,한국,코미디,123,12세관람가,김응수,장서희,차승원,(주)시네마서비스
5,20170385,아마도 내일은,알렉스 K. 리,20170601,2016,오스트리아 ,드라마,92,12세이상관람가,알릭스 베네치크,플로렝 아르누,,C 무비
6,20040490,투모로우,롤랜드 에머리히,20040603,2004,미국,SF,123,12세관람가,데니스 퀘이드,제이크 질렌할,이안 홈,센트로폴리스 엔터테인먼트
7,20163722,아이스 넥스트 투모로우,에밀 에드윈 스미스,20161104,2014,미국,SF,85,12세이상관람가,바턴 번드,줄스 하틀리,,(주)케이알씨지
8,20161301,에이지 오브 투모로우,제임스 콘델릭,20160114,2014,미국,SF,90,15세이상관람가,켈리 후,안소니 마크스,로버트 피카르도,(주)케이알씨지
9,20159748,투모로우랜드,브래드 버드,20150527,2014,미국,액션,130,12세이상관람가,조지 클루니,휴 로리,브릿 로버트슨,월트 디즈니 픽쳐스
10,20144003,넥스트 투모로우 2,R.D. 브라운슈타인,20141127,2013,미국,액션,88,12세이상관람가,제프 파헤이,,,스크린조이
11,20149315,아이스 투모로우,제이슨 부케,20140618,2013,캐나다,SF,88,12세이상관람가,폴 조한슨,세바스찬 스펜스,,스크린조이
12,20148807,엣지 오브 투모로우,더그 라이만,20140604,2014,미국,액션,113,12세이상관람가,톰 크루즈,에밀리 블런트,빌 팩스톤,워너브러더스 코리아(주)
13,20040628,우리 형,안권태,20041008,2004,한국,드라마,112,15세관람가,원빈,조성제,신하균,(주)진인사필름
14,20040598,해리포터와 아즈카반의 죄수,알폰소 쿠아론,20040716,2004,미국,드라마,136,전체관람가,다니엘 래드클리프,엠마 왓슨,루퍼트 그린트,워너브러더스사㈜
15,20040566,슈렉2,캘리 애스버리,20040618,2004,미국,애니메이션,92,전체관람가,마이크 마이어스,카메론 디아즈,에디 머피,드림웍스픽쳐스
16,20030410,실미도,강우석,20031224,2003,한국,전쟁,135,15세관람가,설경구,안성기,허준호,(주)시네마서비스
17,20135661,어메이징 스파이더맨 2,마크 웹,20140423,2014,미국,액션,142,12세이상관람가,앤드류 가필드,엠마 스톤,제이미 폭스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
18,20040491,스파이더맨 2,샘 레이미,20040630,2004,미국,SF,126,12세관람가,토비 맥과이어,커스틴 던스트,,콜럼비아트라이스타
19,20040596,바람의 파이터,양윤호,20040812,2004,한국,액션,120,12세관람가,양동근,히라야마 아야,허명행,아이비젼엔터테인먼트(주)
20,20040721,오페라의 유령,조엘 슈마허,20041208,2004,미국,뮤지컬,141,12세관람가,제라드 버틀러,에미 로섬,패트릭 윌슨,워너 브러더스 픽쳐스
21,20128531,오페라의 유령 2 : 러브 네버 다이,브렛 설리반,20120906,2012,미국,뮤지컬,121,12세이상관람가,벤 루이스,안나 오브린,마리아 메르세데스,유니버설픽쳐스인터내셔널 코리아(유)
22,20040568,내 여자친구를 소개합니다,곽재용,20040603,2004,한국,멜로/로맨스,118,15세관람가,전지현,장혁,김정태,(주)아이필름홀딩스
23,20040576,늑대의 유혹,김태균,20040722,2004,한국,드라마,113,12세관람가,강동원,이청아,조한선,(주)싸이더스
24,20176963,불륜가족,곽영근,20170608,2017,한국,멜로/로맨스,72,청소년관람불가,,,,대호필름
25,20161366,"그래, 가족",마대윤,20170215,2016,한국,코미디,106,12세이상관람가,이요원,정만식,이솜,(주)청우필름
26,20040617,시실리 2km,신정원,20040813,2004,한국,코미디,109,15세관람가,권오중,김윤석,임은경,한맥영화(주)
27,20040597,"아이, 로봇",알렉스 프로야스,20040730,2004,미국,SF,110,12세관람가,윌 스미스,브리짓 모나핸,,이십세기폭스필름코퍼레이션
28,20040641,S 다이어리,권종관,20041022,2004,한국,코미디,104,15세관람가,공유,김광일,홍윤희,(주)아이필름홀딩스
29,20148622,패밀리 S다이어리,힐데 반 미에그헴,20140424,2013,네덜란드,멜로/로맨스,95,청소년관람불가,수잔 바이저,안나 드리베르,,주식회사 풍경소리
30,20040613,알포인트,공수창,20040820,2004,한국,전쟁,106,15세관람가,감우성,손병호,박원상,씨앤필름(주)
31,20166803,색시공...주홍글씨의 비밀,김문옥,20170824,2017,한국,멜로/로맨스,94,청소년관람불가,김지니,이성훈,정인철,시네마테크 충무로
32,20040671,주홍글씨,변혁,20041029,2004,한국,스릴러,119,18세관람가,성현아,한석규,이은주,(주)엘제이필름
33,19950326,주홍글씨 ,롤랑 조페,19951111,1995,미국,드라마,135,연소자관람불가,게리 올드만,로버트 듀발,데미 무어,시너지 프로덕션
34,19730051,서울의 연인,최하원,19731208,1973,한국,멜로/로맨스,93,15세이상관람가,신일룡,진도희,,동아흥행㈜
35,20070023,어깨 너머의 연인,이언희,20071018,2007,한국,드라마,100,청소년관람불가,이미연,이태란,김준성,어뮤즈
36,20060068,"달콤, 살벌한 연인",손재곤,20060406,2006,한국,스릴러,110,18세관람가,박용우,최강희,정경호,(주)싸이더스
37,19750076,연인들,박남수,19750516,1975,한국,멜로/로맨스,87,청소년관람불가,신영일,박근형,김창숙,동아흥행㈜
38,20165603,엄마의 연인은 내남친,우에노 타카히로,20161215,2016,일본,성인물(에로),63,청소년관람불가,사사키 코코네,,,(주)도키엔터테인먼트
39,20040743,브리짓 존스의 일기2 : 열정과 애정,비번 키드론,20041208,2004,영국,멜로/로맨스,107,15세관람가,르네 젤위거,휴 그랜트,린 콜린스,워킹 타이틀 필름
40,20164623,내 여동생은 어린신부,야마우치 다이스케,20161128,2014,일본,멜로/로맨스,56,청소년관람불가,아이다 사쿠라,사토 요시히로,,(주)에스와이미디어
41,20040481,어린 신부,김호준,20040402,2004,한국,코미디,114,12세관람가,김래원,김보경,안선영,(주)컬처캡미디어
42,19950268,터미널 포스,윌리엄 메사,19950819,1995,미국,SF,91,중학생이상관람가,브리지트 닐슨,리차드 몰,,동보흥행(주)
43,19960339,터미널 러시 ,다미안 리,19961130,1996,미국,액션,93,고등학생이상관람가,돈 더 드래곤 윌슨,마이클 앤더슨,로디 파이퍼,(주)서울필름
44,20040756,하울의 움직이는 성,미야자키 하야오,20041223,2004,일본,애니메이션,119,전체관람가,바이쇼 치에코,기무라 다쿠야,,지브리 스튜디오
45,20174281,파란나비효과,박문칠,20170622,2017,한국,다큐멘터리,93,12세이상관람가,,,,헤이앤컴퍼니
46,20119767,나비효과: 레버레이션,세스 그로스먼,20110310,2009,미국,드라마,90,청소년관람불가,크리스 카맥,레이첼 마이너,,퍼즐엔터테인먼트
47,20070080,나비효과 2,존 R. 레오네티,20070308,2006,미국,SF,92,15세이상관람가,에릭 라이블리,에리카 듀런스,,(주)미로비젼
48,20040682,역도산,송해성,20041215,2004,한국,드라마,137,12세관람가,설경구,이명수,유병훈,(주)싸이더스
49,20040487,범죄의 재구성,최동훈,20040415,2004,한국,스릴러,116,18세관람가,김윤석,박신양,주진모,(주)싸이더스
50,20040580,반 헬싱,스티븐 소머즈,20040730,2004,미국,액션,125,15세관람가,케이트 베킨세일,휴 잭맨,리차드 록스버그,유니버셜 픽쳐스
51,20040695,이프 온리,길 정거 ,20041029,2004,미국,코미디,96,15세관람가,제니퍼 러브 휴잇,폴 니콜스,,인터미디어필름
52,20040657,여선생 VS 여제자,장규성,20041117,2004,한국,코미디,109,15세관람가,김응수,이지영,이지훈,(주)좋은영화
53,20040525,패션 오브 크라이스트,멜 깁슨 ,20040402,2004,미국,드라마,125,15세관람가,제임스 카비젤,모니카 벨루치,마이아 모겐스턴,아이콘프로덕션
54,20040488,아라한 장풍대작전,류승완,20040430,2004,한국,액션,114,12세관람가,류승범,윤소이,안성기,(주)싸이더스
55,20175202,킹 아더 전설의 서막,마르코 반 벨,20170427,2015,영국,판타지,109,12세이상관람가,,,,주식회사 풍경소리
56,20040573,킹 아더,안톤 후쿠아,20040723,2004,미국,사극,119,15세관람가,스티븐 딜레인,클라이브 오웬,이안 그루퍼드,제리 브룩하이머 필름
57,20040585,내 남자의 로맨스,박제현,20040716,2004,한국,드라마,112,12세관람가,김상경,박동빈,김정은,메이필름(주)
58,20040483,효자동 이발사,임찬상,20040505,2004,한국,드라마,116,15세관람가,문소리,송강호,주진모,영화사청어람(주)
59,20040583,아는 여자,장진,20040625,2004,한국,드라마,107,15세관람가,이나영,정재영,이민정,필름있수다
60,20040595,"달마야, 서울 가자",육상효,20040709,2004,한국,코미디,101,15세관람가,김지영,신현준,유해진,(주)타이거픽쳐스
61,20040612,신부수업,허인무,20040805,2004,한국,드라마,110,12세관람가,하지원,권상우,김도형,기획시대(주)
62,20040717,블레이드 3,데이빗 S. 고이어,20041215,2004,미국,액션,112,18세관람가,웨슬리 스나입스,라이언 레놀즈,,뉴라인 시네마
63,20139323,브레이크 블레이드3: 운명의 장난,아미노 테츠로,20130619,2010,일본,애니메이션,47,전체관람가,,,,(주)케이알씨지
64,20040619,슈퍼스타 감사용,김종현,20040917,2004,한국,드라마,115,전체관람가,이범수,공유,윤진서,(주)싸이더스
65,20040745,인크레더블,브래드 버드,20041215,2004,미국,애니메이션,115,전체관람가,홀리 헌터,크레이그 T. 넬슨,사무엘 L. 잭슨,월트 디즈니 픽쳐스
66,20080830,인크레더블 헐크,루이스 리테리어,20080612,2008,미국,액션,113,15세이상관람가,에드워드 노튼,리브 타일러,,유니버설픽쳐스인터내셔널 코리아(유)
67,20179986,분신사바: 친구의 저주,루이스 리테리어,20170820,2016,중국,공포(호러),89,15세이상관람가,,,,(주)나우콘텐츠
68,20179161,분신사바 : 소녀의 저주,황백기,20170111,2015,홍콩,공포(호러),87,청소년관람불가,찬 긴 팡,장사민,소음음,씨네그루(주)키다리이엔티
69,20040593,분신사바,안병기,20040805,2004,한국,공포(호러),120,15세관람가,김규리,이유리,이세은,(주)소프트랜드 영상 사업부 에이포스트 픽쳐스
70,20161978,분신사바 3,안병기,20160310,2014,중국,공포(호러),102,15세이상관람가,강일연,초준염,,(주)케이알씨지
71,20149511,분신사바 2,안병기,20140716,2013,중국,공포(호러),94,15세이상관람가,박한별,신지뢰,장정정,(주)팝엔터테인먼트
72,20140164,분신사바-저주의 시작,안병기,20140930,2012,중국,스릴러,93,15세이상관람가,궈징페이,매정,,(유)조이앤컨텐츠그룹
73,20030433,말죽거리 잔혹사,유하,20040116,2003,한국,액션,115,15세관람가,권상우,이정진,한가인,(주)싸이더스
