,Unnamed: 0,movieCd,preview,audience
0,0,20070316,"41,041,000","3,401,286"
1,1,20122021,"47,384,000","2,966,980"
2,2,20110659,"71,373,000","3,832,454"
3,3,20090303,"1,853,000","3,437,612"
4,4,20070061,"24,882,000","2,523,764"
5,5,20070209,"52,417,000","1,851,294"
6,6,20070056,"125,756,000","2,503,039"
7,7,20070057,,"2,670,521"
8,8,20070063,"277,000","2,464,565"
9,9,20070060,"642,590,100","1,703,577"
10,10,20070015,"552,999,200","1,653,710"
11,11,20090926,"32,477,000","320,675"
12,12,20070435,"84,582,000","725,204"
13,13,20147247,"21,368,000","979,115"
14,14,20070033,"817,000","1,180,217"
15,15,20060387,"370,894,700","1,180,054"
16,16,20100321,"972,000",110
17,17,20070116,"363,622,000","1,721,882"
18,18,20070014,"20,648,000","1,032,314"
19,19,20070550,"433,000","1,176,767"
20,20,20143261,"5,184,000","4,178"
21,21,20070551,"17,078,000","1,336,617"
22,22,20070434,"71,352,000","692,360"
23,23,20070104,"39,017,500","762,641"
24,24,20070466,"182,376,000","450,120"
25,25,20134561,,580
26,26,20090340,"1,800,000","3,596"
27,27,20162583,"11,000",9
28,28,20140281,"11,186,000","1,553"
29,29,20070422,,"567,402"
30,30,20070585,"85,058,000","522,485"
31,31,20060319,"242,461,300","1,476,062"
32,32,20070582,"18,744,000","395,818"
33,33,20060421,"1,734,000","855,255"
34,34,20070637,"26,184,000","783,677"
35,35,20070115,"8,020,000","436,411"
36,36,20141110,"3,135,000","1,564"
37,37,20070421,"53,020,000","456,581"
38,38,20070020,"18,832,000","641,396"
39,39,20060407,"531,687,800","874,443"
40,40,20070058,"59,659,000","629,913"
41,41,20070497,"4,844,000","667,383"
42,42,20070205,"174,161,500","662,040"
43,43,20060412,"218,869,900","568,070"
44,44,20070089,"293,326,000","754,165"
45,45,20070380,"289,635,500","307,866"
46,46,20070549,"74,539,000","791,441"
47,47,20070128,"295,776,500","760,227"
48,48,20060417,"56,088,000","635,841"
49,49,20070151,"24,463,500","500,211"
50,50,20070084,"26,542,000","628,309"
51,51,20140704,"24,356,000","234,720"
52,52,20155748,"5,248,000","1,825"
53,53,20090076,"523,500","5,595"
54,54,20070034,"53,765,000","349,475"
55,55,20070367,"215,139,000","557,591"
56,56,20070264,"71,985,000","411,443"
57,57,20070521,,"583,796"
58,58,20070083,"27,495,000","395,906"
59,59,20070072,"55,482,000","520,236"
60,60,20070021,"5,888,000","541,700"
61,61,20060345,"205,634,600","545,701"
62,62,20070381,"41,330,000","444,311"
63,63,20060357,"52,853,000","894,238"
64,64,20070383,"4,516,000","486,957"
65,65,20070306,"114,992,000","403,259"
66,66,20090329,"17,108,000","838,676"
67,67,20030435,"65,860,500","141,530"
68,68,19590001,,594
69,69,20070352,"169,472,500","401,256"
70,70,20135769,,"4,190"
71,71,20060390,"51,630,000","347,141"
72,72,20060423,"86,880,000","344,123"
73,73,20070379,"420,612,500","396,337"
74,74,20070103,"302,000","244,034"
75,75,20070262,"55,621,000","370,563"
76,76,20100286,"11,944,000","10,953"
77,77,20161407,"1,008,000","5,866"
78,78,20060430,"3,456,000","309,841"
79,79,20070059,"50,148,000","465,453"
80,80,20070294,"7,397,000","325,272"
81,81,20070250,"18,848,000","430,993"
82,82,20101281,"2,733,500","5,160"
83,83,20060405,"1,910,000","379,837"
84,84,20149847,,70
85,85,20119707,,"639,532"
86,86,20070424,"89,307,500","349,879"
87,87,20070640,"28,000","320,820"
88,88,20070520,"2,094,000","279,951"
89,89,20070097,"16,461,000","266,905"
90,90,20070113,"102,685,500","261,275"
91,91,20060425,"24,270,000","5,387"
92,92,20159059,"24,760,000","199,764"
93,93,20070562,"22,758,500","341,708"
94,94,20113311,0,"213,306"
95,95,20090861,"180,501,000","373,786"
96,96,20070254,"96,440,000","361,404"
97,97,20070586,"35,557,000","451,248"
98,98,20060422,"3,774,500","231,164"
99,99,20070462,"97,536,500","270,274"
100,100,20051193,,130
101,101,20144003,,214
102,102,20143590,,113
103,103,20140148,,110
104,104,20147950,"17,272,000","12,149"
105,105,20060408,"11,809,500","233,783"
106,106,20070111,"7,254,000","258,523"
107,107,20150020,"26,409,200","14,299"
108,108,19910095,,656
109,109,19900042,,828
110,110,20060413,"91,056,400","205,716"
111,111,20070107,"14,776,000","313,811"
112,112,20070071,"1,566,500","251,018"
113,113,20070110,"78,935,500","213,402"
114,114,20070374,"44,784,000","216,898"
115,115,20130254,,"1,299"
116,116,20072520,"5,929,000","242,886"
117,117,20110312,"28,556,000","414,076"
118,118,20060397,0,"233,881"
119,119,20113890,"1,818,000","98,662"
120,120,20070088,0,"242,915"
121,121,20060230,"3,766,000","235,186"
122,122,20070610,"81,317,500","284,446"
123,123,20070545,"41,480,000","210,954"
124,124,20060420,"67,047,000","222,447"
125,125,20070635,"5,502,000","227,030"
126,126,20060409,"2,695,000","236,645"
127,127,20060375,0,"158,829"
128,128,20070042,"13,337,500","204,003"
129,129,20060383,"12,170,000","194,098"
130,130,20070023,"7,555,000","178,080"
131,131,20070504,"10,983,000","198,102"
132,132,20071060,"25,904,000","197,784"
