,movieCd,movieNm,director,openDt,prdtYear,repNationNm,repGenreNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,companyNm
0,20030371,태극기 휘날리며,강제규,20040205,2004,한국,전쟁,148,15세관람가,장동건,원빈,이은주,강제규필름
1,20090263,디트로이트 메탈 시티,리 토시오 ,20090521,2008,일본,코미디,103,15세이상관람가,호소다 요시히코,마츠야마 켄이치,,토호 컴퍼니
2,20040555,트로이,볼프강 페터젠,20040521,2004,미국,사극,136,15세관람가,다이앤 크루거,올랜도 블룸,에릭 바나,플랜 비 엔터테인먼트
3,20040673,내 머리 속의 지우개,이재한,20041105,2004,한국,멜로/로맨스,117,12세관람가,정우성,손예진,데이비드 맥기니스,(주)싸이더스
4,20040649,귀신이 산다,김상진,20040917,2004,한국,코미디,123,12세관람가,김응수,장서희,차승원,(주)시네마서비스
5,20161301,에이지 오브 투모로우,제임스 콘델릭,20160114,2014,미국,SF,90,15세이상관람가,켈리 후,안소니 마크스,로버트 피카르도,(주)케이알씨지
6,20159748,투모로우랜드,브래드 버드,20150527,2014,미국,액션,130,12세이상관람가,조지 클루니,휴 로리,브릿 로버트슨,월트 디즈니 픽쳐스
7,20144003,넥스트 투모로우 2,R.D. 브라운슈타인,20141127,2013,미국,액션,88,12세이상관람가,제프 파헤이,,,스크린조이
8,20149315,아이스 투모로우,제이슨 부케,20140618,2013,캐나다,SF,88,12세이상관람가,폴 조한슨,세바스찬 스펜스,,스크린조이
9,20148807,엣지 오브 투모로우,더그 라이만,20140604,2014,미국,액션,113,12세이상관람가,톰 크루즈,에밀리 블런트,빌 팩스톤,워너브러더스 코리아(주)
10,20130389,넥스트 투모로우,트레비스 포트,20130711,2011,미국,SF,91,12세이상관람가,패트릭 라비오토,,,(주)케이알씨지
11,20040628,우리 형,안권태,20041008,2004,한국,드라마,112,15세관람가,원빈,조성제,신하균,(주)진인사필름
12,20040598,해리포터와 아즈카반의 죄수,알폰소 쿠아론,20040716,2004,미국,드라마,136,전체관람가,다니엘 래드클리프,엠마 왓슨,루퍼트 그린트,워너브러더스사㈜
13,20040566,슈렉2,켈리 애스버리,20040618,2004,미국,애니메이션,92,전체관람가,마이크 마이어스,카메론 디아즈,에디 머피,드림웍스픽쳐스
14,20030410,실미도,강우석,20031224,2003,한국,전쟁,135,15세관람가,설경구,안성기,허준호,(주)시네마서비스
15,20135661,어메이징 스파이더맨 2,마크 웹,20140423,2014,미국,액션,142,12세이상관람가,앤드류 가필드,엠마 스톤,제이미 폭스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
16,20040491,스파이더맨 2,샘 레이미,20040630,2004,미국,SF,126,12세관람가,토비 맥과이어,커스틴 던스트,,콜럼비아트라이스타
17,20040596,바람의 파이터,양윤호,20040812,2004,한국,액션,120,12세관람가,양동근,히라야마 아야,허명행,아이비젼엔터테인먼트(주)
18,20128531,오페라의 유령 2 : 러브 네버 다이,브렛 설리반,20120906,2012,미국,뮤지컬,121,12세이상관람가,벤 루이스,안나 오브린,마리아 메르세데스,유니버설픽쳐스인터내셔널 코리아(유)
19,20040721,오페라의 유령,조엘 슈마허,20041208,2004,미국,뮤지컬,146,12세관람가,제라드 버틀러,에미 로섬,,워너 브러더스 픽쳐스
20,20040568,내 여자친구를 소개합니다,곽재용,20040603,2004,한국,멜로/로맨스,118,15세관람가,전지현,장혁,김정태,(주)아이필름홀딩스
21,20040576,늑대의 유혹,김태균,20040722,2004,한국,드라마,113,12세관람가,강동원,이청아,조한선,(주)싸이더스
22,20166041,크리피: 일가족 연쇄 실종 사건 ,구로사와 기요시,20160811,2016,일본,공포(호러),130,청소년관람불가,니시지마 히데토시,다케우치 유코,카가와 테루유키,(주)영화사 진진
23,20150972,굿바이 싱글,김태곤,20160629,2016,한국,코미디,120,15세이상관람가,김혜수,마동석,김현수,호두앤유 엔터테인먼트(주)
