,movieCd,movieNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,companyNm
0,20070316,디워,90,12세이상관람가,브룩스 아만다,베어 제이슨,,㈜영구아트
1,20122021,트랜스포머: 사라진 시대,165,12세이상관람가,마크 월버그,니콜라 펠츠,잭 레이너,씨제이이앤엠(주)
2,20110659,트랜스포머 3,152,12세이상관람가,조쉬 더하멜,존 말코비치,로지 헌팅턴-휘틀리,씨제이이앤엠(주)
3,20090303,트랜스포머: 패자의 역습,149,12세이상관람가,샤이아 라보프,메간 폭스,,드림웍스 SKG
4,20070061,트랜스포머,135,12세이상관람가,샤이아 라보프,메간 폭스,,드림웍스픽쳐스
5,20070209,화려한 휴가,125,12세이상관람가,김상경,안성기,이요원,기획시대(주)
6,20070056,스파이더맨 3,139,12세이상관람가,토비 맥과이어,커스틴 던스트,,콜럼비아 픽쳐스 코포레이션
7,20070057,캐리비안의 해적: 세상의 끝에서,168,12세이상관람가,조니 뎁,올랜도 블룸,,제리 브룩하이머 필름
8,20070063,해리 포터와 불사조 기사단,137,전체관람가,다니엘 래드클리프,루퍼트 그린트,,워너 브러더스 픽쳐스
9,20070060,다이 하드 4 : 죽어도 산다,128,12세이상관람가,브루스 윌리스,매기 큐,,샤이엔 엔터프라이지즈
10,20070015,그놈 목소리,122,12세이상관람가,설경구,김남주,김영철,영화사 집
11,20090926,식객2 : 김치전쟁,119,전체관람가,김정은,진구,왕지혜,㈜이룸영화사
12,20070435,식객,114,12세이상관람가,김강우,이하나,이민호,쇼이스트(주)
13,20147247,300: 제국의 부활,102,청소년관람불가,레나 헤디,에바 그린,설리반 스탭플턴,워너브러더스 코리아(주)
14,20080560,엄마 찾아 삼만리,90,청소년관람불가,,,,(주)선우프로덕션
15,19940299,맥스 3000,87,고등학생이상관람가,랜스 헨릭슨,앨리 쉬디,,(주)미도영화사
16,20070033,300,116,청소년관람불가,제라드 버틀러,레나 헤디,,워너 브러더스 픽쳐스
17,20060387,미녀는 괴로워,120,12세이상관람가,김아중,주진모,김현숙,리얼라이즈픽쳐스(주)
18,20100321,섹시한 미녀는 괴로워,91,15세이상관람가,패리스 힐튼,조엘 무어,,퍼플 픽처스
19,20070116,슈렉3,92,전체관람가,카메론 디아즈,마이크 마이어스,,드림웍스 애니메이션
20,20070014,1번가의 기적,113,15세이상관람가,하지원,임창정,강예원,(주)두사부필름
21,20070550,나는 전설이다,97,12세이상관람가,윌 스미스,알리스 브라가,,워너 브러더스 픽쳐스
22,20143261,해적왕의 황금나침반,90,전체관람가,발레리아 아이젠바트,퀴린 에틀,유스투스 쉴린겐지펜,와이드 릴리즈(주)
23,20070551,황금 나침반,113,전체관람가,다니엘 크레이그,니콜 키드먼,,뉴라인 시네마
24,20070434,바르게 살자,102,15세이상관람가,정재영,손병호,주진모,필름있수다
25,20070104,극락도 살인사건,112,15세이상관람가,박해일,박솔미,송혁조,(주)두엔터테인먼트 
26,20070466,세븐 데이즈,125,청소년관람불가,김윤진,김미숙,박희순,(주)영화사윤앤준
27,20134561,세븐데이즈,108,청소년관람불가,클로드 르고트,레미 기라드,,(주)미디어데이
28,20166866,트럭걸의 사랑이야기,65,청소년관람불가,미나토 리쿠,,,(주)영진크리에이티브
29,20090340,걸어도 걸어도,114,전체관람가,나츠카와 유이,요우,하야기 료가,(주)영화사 진진
30,20162583,불륜관계,90,15세이상관람가,방조명,범문방,,(주)케이알씨지
31,20140281,"사랑해, 매기",107,15세이상관람가,유지니오 델베즈,,,와이드 릴리즈(주)
32,20070422,본 얼티메이텀,115,12세이상관람가,맷 데이먼,줄리아 스타일즈,,유니버셜 픽쳐스
33,20070585,어거스트 러쉬,113,전체관람가,프레디 하이모어,조나단 리스 메이어스,케리 러셀,사우스포우 엔터테인먼트
34,20060319,박물관이 살아있다!,108,전체관람가,벤 스틸러,로빈 윌리엄스,,이십세기폭스필름코퍼레이션
35,20070582,"색, 계",157,청소년관람불가,탕웨이,양조위,,씨제이엔터테인먼트
36,20060421,바람피기 좋은 날,103,청소년관람불가,윤진서,김혜수,김도연,(주)아이필름홀딩스
37,20070637,색즉시공 시즌2,112,청소년관람불가,임창정,송지효,최성국,(주)두사부필름
38,20070115,밀양,141,15세이상관람가,전도연,송강호,조영진,파인하우스필름㈜
39,20141110,밀양 아리랑,102,15세이상관람가,,,,오지필름
40,20070421,권순분여사 납치사건,120,15세이상관람가,김서현,강성진,유해진,(주)어나더썬데이
41,20070020,복면달호,108,12세이상관람가,차태현,임채무,이소연,(주)인앤인픽쳐스
42,20060407,마파도2,129,12세이상관람가,김수미,김영찬,이유진,코리아 엔터테인먼트
43,20070058,오션스 써틴,121,12세이상관람가,조지 클루니,브래드 피트,맷 데이먼,워너브러더스 코리아(주)
44,20070497,궁녀,118,청소년관람불가,박진희,윤세아,김남진,(주)영화사아침
45,20154452,궁녀-방탕한 왕과 음란한 궁녀들,85,청소년관람불가,요시자와 아키호,미히로,,(주)영진크리에이티브
46,19600084,낙화암과 삼천궁녀,,청소년관람불가,변기종,노능걸,,명신영화사
47,20070205,검은 집,103,청소년관람불가,김혜정,황정민,유선,씨제이엔터테인먼트
48,20060412,허브,114,12세이상관람가,강혜정,정경호,배종옥,케이엠컬쳐㈜
