,movieCd,movieNm,director,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyNm
0,20030371,태극기 휘날리며,강제규,2004,20040205,장편,한국,전쟁,강제규필름
1,20090263,디트로이트 메탈 시티,리 토시오 ,2008,20090521,장편,일본,코미디,토호 컴퍼니
2,20040555,트로이,볼프강 페터젠,2004,20040521,장편,미국,사극,플랜 비 엔터테인먼트
3,20040673,내 머리 속의 지우개,이재한,2004,20041105,장편,한국,멜로/로맨스,(주)싸이더스
4,20040649,귀신이 산다,김상진,2004,20040917,장편,한국,코미디,(주)시네마서비스
5,20161301,에이지 오브 투모로우,제임스 콘델릭,2014,20160114,장편,미국,SF,씨네굿
6,20159748,투모로우랜드,브래드 버드,2014,20150527,장편,미국,액션,월트 디즈니 픽쳐스
7,20144003,넥스트 투모로우 2,R.D. 브라운슈타인,2013,20141127,장편,미국,액션,월트 디즈니 픽쳐스
8,20149315,아이스 투모로우,제이슨 부케,2013,20140618,장편,캐나다,SF,월트 디즈니 픽쳐스
9,20148807,엣지 오브 투모로우,더그 라이만,2014,20140604,장편,미국,액션,월트 디즈니 픽쳐스
10,20130389,넥스트 투모로우,트레비스 포트,2011,20130711,장편,미국,SF,월트 디즈니 픽쳐스
11,20040628,우리 형,안권태,2004,20041008,장편,한국,드라마,(주)진인사필름
12,20040598,해리포터와 아즈카반의 죄수,알폰소 쿠아론,2004,20040716,장편,미국,드라마,워너브러더스사㈜
13,20040566,슈렉2,켈리 애스버리,2004,20040618,장편,미국,애니메이션,드림웍스픽쳐스
14,20030410,실미도,강우석,2003,20031224,장편,한국,전쟁,(주)시네마서비스
15,20135661,어메이징 스파이더맨 2,마크 웹,2014,20140423,장편,미국,액션,(주)시네마서비스
16,20040491,스파이더맨 2,샘 레이미,2004,20040630,장편,미국,SF,콜럼비아트라이스타
17,20040596,바람의 파이터,양윤호,2004,20040812,장편,한국,액션,아이비젼엔터테인먼트(주)
18,20128531,오페라의 유령 2 : 러브 네버 다이,브렛 설리반,2012,20120906,장편,미국,뮤지컬,아이비젼엔터테인먼트(주)
19,20040721,오페라의 유령,조엘 슈마허,2004,20041208,장편,미국,뮤지컬,워너 브러더스 픽쳐스
20,20040568,내 여자친구를 소개합니다,곽재용,2004,20040603,장편,한국,멜로/로맨스,(주)아이필름홀딩스
21,20040576,늑대의 유혹,김태균,2004,20040722,장편,한국,드라마,(주)싸이더스
22,20166041,크리피: 일가족 연쇄 실종 사건 ,구로사와 기요시,2016,20160811,장편,일본,공포(호러),(주)싸이더스
23,20150972,굿바이 싱글,김태곤,2016,20160629,장편,한국,코미디,호두앤유 엔터테인먼트(주)
24,20060123,가족의 탄생,김태용,2006,20060518,장편,한국,드라마,블루스톰(주)
25,20030108,바람난 가족,임상수,2003,20030814,장편,한국,드라마,(주)명필름
26,20040554,가족,이정철,2004,20040903,장편,한국,드라마,튜브픽쳐스(주)
27,20040617,시실리 2km,신정원,2004,20040813,장편,한국,코미디,한맥영화(주)
28,20040597,"아이, 로봇",알렉스 프로야스,2004,20040730,장편,미국,SF,이십세기폭스필름코퍼레이션
29,20148622,패밀리 S다이어리,힐데 반 미에그헴,2013,20140424,장편,네덜란드,멜로/로맨스,이십세기폭스필름코퍼레이션
30,20040641,S 다이어리,권종관,2004,20041022,장편,한국,코미디,(주)아이필름홀딩스
31,20040613,알포인트,공수창,2004,20040820,장편,한국,전쟁,씨앤필름(주)
32,19920222,연인,장 자끄 아노 ,1991,19920620,장편,프랑스,멜로/로맨스,씨앤필름(주)
33,20070023,어깨 너머의 연인,이언희,2007,20071018,장편,한국,드라마,어뮤즈
