,movieCd,movieNm_x,movieNm_y,url
0,20030371.0,태극기 휘날리며,태극기 휘날리며 (TaeGukGi: Brotherhood Of War),/movie/bi/mi/basic.nhn?code=36666
1,20040555.0,트로이,트로이 (Troy),/movie/bi/mi/basic.nhn?code=37742
2,20040673.0,내 머리 속의 지우개,내 머리 속의 지우개 (A Moment To Remember),/movie/bi/mi/basic.nhn?code=38662
3,20040649.0,귀신이 산다,귀신이 산다 (Ghost House),/movie/bi/mi/basic.nhn?code=38254
4,20159748.0,투모로우랜드,투모로우랜드 (Tomorrowland),/movie/bi/mi/basic.nhn?code=101960
5,20148807.0,엣지 오브 투모로우,엣지 오브 투모로우 (Edge of Tomorrow),/movie/bi/mi/basic.nhn?code=90589
6,20040628.0,우리 형,우리 형 (My Brother...),/movie/bi/mi/basic.nhn?code=38384
7,20040598.0,해리포터와 아즈카반의 죄수,해리 포터와 아즈카반의 죄수 (Harry Potter And The Prisoner Of Azkaban),/movie/bi/mi/basic.nhn?code=35546
8,20040566.0,슈렉2,슈렉 2 (Shrek 2),/movie/bi/mi/basic.nhn?code=34519
9,20030410.0,실미도,실미도 (Silmido),/movie/bi/mi/basic.nhn?code=34501
10,20135661.0,어메이징 스파이더맨 2,어메이징 스파이더맨 2 (The Amazing Spider-Man 2),/movie/bi/mi/basic.nhn?code=94187
11,20040491.0,스파이더맨 2,스파이더맨 2 (Spider-Man 2),/movie/bi/mi/basic.nhn?code=35071
12,20040596.0,바람의 파이터,바람의 파이터 (Fighter In The Wind),/movie/bi/mi/basic.nhn?code=33837
13,20040721.0,오페라의 유령,오페라의 유령 (The Phantom Of The Opera),/movie/bi/mi/basic.nhn?code=39369
14,20040568.0,내 여자친구를 소개합니다,내 여자친구를 소개합니다 (Windstruck),/movie/bi/mi/basic.nhn?code=37397
15,20040576.0,늑대의 유혹,늑대의 유혹 (Romance Of Their Own),/movie/bi/mi/basic.nhn?code=37919
16,20150972.0,굿바이 싱글,굿바이 싱글 (GOODBYE SINGLE),/movie/bi/mi/basic.nhn?code=139700
17,20060123.0,가족의 탄생,가족의 탄생 (Family Ties),/movie/bi/mi/basic.nhn?code=56447
18,20040617.0,시실리 2km,시실리 2km (時失里 2km),/movie/bi/mi/basic.nhn?code=38619
19,20040597.0,"아이, 로봇","아이, 로봇 (I, Robot)",/movie/bi/mi/basic.nhn?code=38420
20,20040641.0,S 다이어리,S 다이어리 (S Diary),/movie/bi/mi/basic.nhn?code=38466
21,20040613.0,알포인트,알 포인트 (R-Point),/movie/bi/mi/basic.nhn?code=37261
22,20070023.0,어깨 너머의 연인,어깨너머의 연인 (Love Exposure),/movie/bi/mi/basic.nhn?code=45491
23,20060068.0,"달콤, 살벌한 연인","달콤, 살벌한 연인 (My Scary Girl)",/movie/bi/mi/basic.nhn?code=55405
24,20040743.0,브리짓 존스의 일기2 : 열정과 애정,브리짓 존스의 일기 - 열정과 애정 (Bridget Jones: The Edge Of Reason),/movie/bi/mi/basic.nhn?code=38906
25,20040481.0,어린 신부,어린 신부 (My Little Bride),/movie/bi/mi/basic.nhn?code=37926
26,20040631.0,터미널,터미널 (The Terminal),/movie/bi/mi/basic.nhn?code=38835
27,20040756.0,하울의 움직이는 성,하울의 움직이는 성 (ハウルの動く城),/movie/bi/mi/basic.nhn?code=39640
28,20040700.0,나비효과,나비 효과 (The Butterfly Effect),/movie/bi/mi/basic.nhn?code=38091
29,20040682.0,역도산,역도산 (力道山),/movie/bi/mi/basic.nhn?code=38510
30,20040487.0,범죄의 재구성,범죄의 재구성 (The Big Swindle),/movie/bi/mi/basic.nhn?code=37853
31,20040580.0,반 헬싱,반 헬싱 (Van Helsing),/movie/bi/mi/basic.nhn?code=38421
32,20040695.0,이프 온리,이프 온리 (If Only),/movie/bi/mi/basic.nhn?code=39440
33,20040657.0,여선생 VS 여제자,여선생 VS 여제자 (Lovely Rivals),/movie/bi/mi/basic.nhn?code=13092
34,20040525.0,패션 오브 크라이스트,패션 오브 크라이스트 (The Passion Of The Christ),/movie/bi/mi/basic.nhn?code=38197
35,20040488.0,아라한 장풍대작전,아라한 장풍대작전 (阿羅漢 장풍대작전),/movie/bi/mi/basic.nhn?code=36956
36,20040573.0,킹 아더,킹 아더 (King Arthur),/movie/bi/mi/basic.nhn?code=38488
37,20040585.0,내 남자의 로맨스,내 남자의 로맨스 (How To Keep My Love),/movie/bi/mi/basic.nhn?code=37770
38,20040483.0,효자동 이발사,효자동 이발사 (The President's Barber),/movie/bi/mi/basic.nhn?code=37380
39,20040583.0,아는 여자,아는 여자 (Someone Special),/movie/bi/mi/basic.nhn?code=37888
40,20040595.0,"달마야, 서울 가자","달마야, 서울 가자 (Dalmaya Seoul Gaja)",/movie/bi/mi/basic.nhn?code=37908
41,20040612.0,신부수업,신부 수업 (Love So Divine),/movie/bi/mi/basic.nhn?code=38452
42,20040717.0,블레이드 3,블레이드 3 (Blade: Trinity),/movie/bi/mi/basic.nhn?code=36755
43,20040619.0,슈퍼스타 감사용,슈퍼스타 감사용 (Mr. Gam's Victory),/movie/bi/mi/basic.nhn?code=37929
44,20040745.0,인크레더블,인크레더블 (The Incredibles),/movie/bi/mi/basic.nhn?code=36798
45,20080830.0,인크레더블 헐크,인크레더블 헐크 (The Incredible Hulk),/movie/bi/mi/basic.nhn?code=62560
46,20149511.0,분신사바 2,분신사바 2 (笔仙 Ⅱ),/movie/bi/mi/basic.nhn?code=103752
47,20040593.0,분신사바,분신사바 (Bunshinsaba),/movie/bi/mi/basic.nhn?code=38323
48,20030433.0,말죽거리 잔혹사,말죽거리 잔혹사 (Spirit Of Jeet Keun Do),/movie/bi/mi/basic.nhn?code=37245
49,20040655.0,콜래트럴,콜래트럴 (Collateral),/movie/bi/mi/basic.nhn?code=39360
50,20040567.0,투 가이즈,투 가이즈 (Two Guys),/movie/bi/mi/basic.nhn?code=37930
51,20040659.0,돈 텔 파파,돈 텔 파파 (Don't Tell Papa),/movie/bi/mi/basic.nhn?code=37262
