,Unnamed: 0,Unnamed: 0.1,movieCd,movieNm,director,openDt,typeNm,repNationNm,repGenreNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,companyNm,prdtYear
0,0,0,20070316,디워,심형래,20070801,장편,한국,액션,90.0,12세이상관람가,브룩스 아만다,베어 제이슨,,㈜영구아트,2007
1,1,1,20122021,트랜스포머: 사라진 시대,마이클 베이,20140625,장편,미국,액션,165.0,12세이상관람가,마크 월버그,니콜라 펠츠,잭 레이너,씨제이이앤엠(주),2014
2,1,1,20122021,트랜스포머: 사라진 시대,마이클 베이,20140625,장편,미국,액션,165.0,12세이상관람가,마크 월버그,니콜라 펠츠,잭 레이너,씨제이이앤엠(주),2014
3,2,2,20110659,트랜스포머 3,마이클 베이,20110629,장편,미국,액션,152.0,12세이상관람가,조쉬 더하멜,존 말코비치,로지 헌팅턴-휘틀리,씨제이이앤엠(주),2011
4,2,2,20110659,트랜스포머 3,마이클 베이,20110629,장편,미국,액션,152.0,12세이상관람가,조쉬 더하멜,존 말코비치,로지 헌팅턴-휘틀리,씨제이이앤엠(주),2011
5,3,3,20090303,트랜스포머: 패자의 역습,마이클 베이,20090624,장편,미국,SF,149.0,12세이상관람가,샤이아 라보프,메간 폭스,,드림웍스 SKG,2009
6,3,3,20090303,트랜스포머: 패자의 역습,마이클 베이,20090624,장편,미국,SF,149.0,12세이상관람가,샤이아 라보프,메간 폭스,,드림웍스 SKG,2009
7,4,4,20070061,트랜스포머,마이클 베이,20070628,장편,미국,SF,135.0,12세이상관람가,샤이아 라보프,메간 폭스,,드림웍스픽쳐스,2007
8,5,5,20070209,화려한 휴가,김지훈,20070725,장편,한국,드라마,125.0,12세이상관람가,김상경,안성기,이요원,기획시대(주),2007
9,6,6,20070056,스파이더맨 3,샘 레이미,20070501,장편,미국,액션,139.0,12세이상관람가,토비 맥과이어,커스틴 던스트,,콜럼비아 픽쳐스 코포레이션,
10,7,7,20070057,캐리비안의 해적: 세상의 끝에서,고어 버빈스키,20070523,장편,미국,액션,168.0,12세이상관람가,조니 뎁,올랜도 블룸,,제리 브룩하이머 필름,2007
11,8,8,20070063,해리 포터와 불사조 기사단,데이빗 예이츠,20070711,장편,미국,판타지,137.0,전체관람가,다니엘 래드클리프,루퍼트 그린트,,워너 브러더스 픽쳐스,2007
12,9,9,20070060,다이 하드 4 : 죽어도 산다,렌 와이즈먼,20070717,장편,미국,액션,128.0,12세이상관람가,브루스 윌리스,매기 큐,,샤이엔 엔터프라이지즈,2007
13,10,10,20070015,그놈 목소리,박진표,20070201,장편,한국,드라마,122.0,12세이상관람가,설경구,김남주,김영철,영화사 집,2006
