,movieCd,movieNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,actor_7,actor_8,actor_9,actor_10,companyNm
0,20129370,명량,128,15세이상관람가,최민식,류승룡,조진웅,김명곤,진구,이정현,권율,노민우,김태훈,이승준,(주)빅스톤픽쳐스
1,20137048,국제시장,126,12세이상관람가,황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,(주)제이케이필름
2,20148048,베테랑,124,15세이상관람가,황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,(주)외유내강
3,20060151,괴물,119,12세관람가,송강호,변희봉,박해일,배두나,고아성,오달수,박노식,라미란,고수희,윤제문,영화사청어람(주)
4,20124034,도둑들,135,15세이상관람가,김윤석,김혜수,이정재,전지현,임달화,김해숙,오달수,김수현,이심결,증국상,(주)케이퍼필름
5,20127593,7번방의 선물,127,15세이상관람가,류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,㈜화인웍스
6,20148851,암살,140,15세이상관람가,전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,(주)케이퍼필름
7,20124079,"광해, 왕이 된 남자",131,15세이상관람가,이병헌,류승룡,한효주,장광,김인권,심은경,김명곤,서진원,장재현,정창국,리얼라이즈픽쳐스(주)
8,20050333,왕의 남자,119,15세이상관람가,감우성,이준기,유해진,정진영,박영수,강성연,이건우,이동수,이동헌,유효정,㈜씨네월드
9,20030371,태극기 휘날리며,148,15세관람가,장동건,원빈,이은주,조원희,이장욱,이영란,정희준,박유신,김효열,김효준,강제규필름
10,20090074,해운대,129,12세이상관람가,설경구,하지원,박중훈,엄정화,이민기,강대규,김원영,김유빈,신정원,성유경,(주)제이케이필름
11,20134803,변호인,127,15세이상관람가,송강호,김영애,오달수,곽도원,임시완,송영창,정원중,조민기,이항나,이성민,위더스필름(주)
12,20030410,실미도,135,15세관람가,설경구,안성기,허준호,정재영,임원희,강성진,강신일,이도겸,엄태웅,김강우,(주)시네마서비스
