,movieCd,movieNm,director,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyNm
0,20030371,태극기 휘날리며,강제규,2004,20040205,장편,한국,전쟁,강제규필름
1,20040555,트로이,볼프강 페터젠,2004,20040521,장편,미국,사극,플랜 비 엔터테인먼트
2,20090263,디트로이트 메탈 시티,리 토시오 ,2008,20090521,장편,일본,코미디,토호 컴퍼니
3,20040673,내 머리 속의 지우개,이재한,2004,20041105,장편,한국,멜로/로맨스,(주)싸이더스
4,20040649,귀신이 산다,김상진,2004,20040917,장편,한국,코미디,(주)시네마서비스
5,20170385,아마도 내일은,알렉스 K. 리,2016,20170601,장편,오스트리아 ,드라마,씨네굿
6,20040490,투모로우,롤랜드 에머리히,2004,20040603,장편,미국,SF,센트로폴리스 엔터테인먼트
7,20163722,아이스 넥스트 투모로우,에밀 에드윈 스미스,2014,20161104,장편,미국,SF,센트로폴리스 엔터테인먼트
8,20161301,에이지 오브 투모로우,제임스 콘델릭,2014,20160114,장편,미국,SF,센트로폴리스 엔터테인먼트
9,20159748,투모로우랜드,브래드 버드,2014,20150527,장편,미국,액션,월트 디즈니 픽쳐스
10,20144003,넥스트 투모로우 2,R.D. 브라운슈타인,2013,20141127,장편,미국,액션,월트 디즈니 픽쳐스
11,20149315,아이스 투모로우,제이슨 부케,2013,20140618,장편,캐나다,SF,월트 디즈니 픽쳐스
12,20148807,엣지 오브 투모로우,더그 라이만,2014,20140604,장편,미국,액션,월트 디즈니 픽쳐스
13,20040628,우리 형,안권태,2004,20041008,장편,한국,드라마,(주)진인사필름
14,20040598,해리포터와 아즈카반의 죄수,알폰소 쿠아론,2004,20040716,장편,미국,드라마,워너브러더스사㈜
15,20040566,슈렉2,캘리 애스버리,2004,20040618,장편,미국,애니메이션,드림웍스픽쳐스
16,20030410,실미도,강우석,2003,20031224,장편,한국,전쟁,(주)시네마서비스
17,20135661,어메이징 스파이더맨 2,마크 웹,2014,20140423,장편,미국,액션,(주)시네마서비스
18,20040491,스파이더맨 2,샘 레이미,2004,20040630,장편,미국,SF,콜럼비아트라이스타
19,20040596,바람의 파이터,양윤호,2004,20040812,장편,한국,액션,아이비젼엔터테인먼트(주)
20,20040721,오페라의 유령,조엘 슈마허,2004,20041208,장편,미국,뮤지컬,워너 브러더스 픽쳐스
21,20128531,오페라의 유령 2 : 러브 네버 다이,브렛 설리반,2012,20120906,장편,미국,뮤지컬,워너 브러더스 픽쳐스
22,20040568,내 여자친구를 소개합니다,곽재용,2004,20040603,장편,한국,멜로/로맨스,(주)아이필름홀딩스
23,20040576,늑대의 유혹,김태균,2004,20040722,장편,한국,드라마,(주)싸이더스
24,20176963,불륜가족,곽영근,2017,20170608,장편,한국,멜로/로맨스,대호필름
25,20161366,"그래, 가족",마대윤,2016,20170215,장편,한국,코미디,(주)청우필름
26,20040617,시실리 2km,신정원,2004,20040813,장편,한국,코미디,한맥영화(주)
27,20040597,"아이, 로봇",알렉스 프로야스,2004,20040730,장편,미국,SF,이십세기폭스필름코퍼레이션
28,20040641,S 다이어리,권종관,2004,20041022,장편,한국,코미디,(주)아이필름홀딩스
29,20148622,패밀리 S다이어리,힐데 반 미에그헴,2013,20140424,장편,네덜란드,멜로/로맨스,(주)아이필름홀딩스
30,20040613,알포인트,공수창,2004,20040820,장편,한국,전쟁,씨앤필름(주)
31,20166803,색시공...주홍글씨의 비밀,김문옥,2017,20170824,장편,한국,멜로/로맨스,시네마테크 충무로
32,20040671,주홍글씨,변혁,2004,20041029,장편,한국,스릴러,(주)엘제이필름
33,19950326,주홍글씨 ,롤랑 조페,1995,19951111,장편,미국,드라마,시너지 프로덕션
34,19730051,서울의 연인,최하원,1973,19731208,장편,한국,멜로/로맨스,동아흥행㈜
35,20070023,어깨 너머의 연인,이언희,2007,20071018,장편,한국,드라마,어뮤즈
36,20060068,"달콤, 살벌한 연인",손재곤,2006,20060406,장편,한국,스릴러,(주)싸이더스
37,19750076,연인들,박남수,1975,19750516,장편,한국,멜로/로맨스,동아흥행㈜
38,20165603,엄마의 연인은 내남친,우에노 타카히로,2016,20161215,장편,일본,성인물(에로),동아흥행㈜
39,20040743,브리짓 존스의 일기2 : 열정과 애정,비번 키드론,2004,20041208,장편,영국,멜로/로맨스,워킹 타이틀 필름
40,20164623,내 여동생은 어린신부,야마우치 다이스케,2014,20161128,장편,일본,멜로/로맨스,워킹 타이틀 필름
41,20040481,어린 신부,김호준,2004,20040402,장편,한국,코미디,(주)컬처캡미디어
42,19950268,터미널 포스,윌리엄 메사,1995,19950819,장편,미국,SF,(주)컬처캡미디어
43,19960339,터미널 러시 ,다미안 리,1996,19961130,장편,미국,액션,(주)컬처캡미디어
44,20040756,하울의 움직이는 성,미야자키 하야오,2004,20041223,장편,일본,애니메이션,지브리 스튜디오
45,20174281,파란나비효과,박문칠,2017,20170622,장편,한국,다큐멘터리,헤이앤컴퍼니
46,20119767,나비효과: 레버레이션,세스 그로스먼,2009,20110310,장편,미국,드라마,한국예술종합학교 미디어콘텐츠센터
47,20070080,나비효과 2,존 R. 레오네티,2006,20070308,장편,미국,SF,(주)미로비젼
48,20040682,역도산,송해성,2004,20041215,장편,한국,드라마,(주)싸이더스
49,20040487,범죄의 재구성,최동훈,2004,20040415,장편,한국,스릴러,(주)싸이더스
50,20040580,반 헬싱,스티븐 소머즈,2004,20040730,장편,미국,액션,유니버셜 픽쳐스
51,20040695,이프 온리,길 정거 ,2004,20041029,장편,미국,코미디,인터미디어필름
52,20040657,여선생 VS 여제자,장규성,2004,20041117,장편,한국,코미디,(주)좋은영화
