영화명,최종관객수,Target,0누적관객수,0누적매출액,0스크린수,0상영횟수,1누적관객수,1누적매출액,1스크린수,1상영횟수,2누적관객수,2누적매출액,2스크린수,2상영횟수,3누적관객수,3누적매출액,3스크린수,3상영횟수,4누적관객수,4누적매출액,4스크린수,4상영횟수,5누적관객수,5누적매출액,5스크린수,5상영횟수,6누적관객수,6누적매출액,6스크린수,6상영횟수,7누적관객수,7누적매출액,7스크린수,7상영횟수,감독평균관객수,배우평균관객수,배급사개봉영화관객수합,기사수,대표국적_미국,대표국적_일본,대표국적_한국,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,장르_B,장르_C,장르_D,장르_E
007 스카이폴,2376266,3class,0.828649868,0.829520788,0.89713491,0.863642873,1.744728883,1.743241138,0.93570255,0.999318094,1.571196584,1.490659993,0.804560559,0.815235384,0.949309089,0.856780043,0.532439281,0.578224384,0.74712986,0.655498582,0.617478962,0.669825827,0.703366545,0.616800046,0.259336677,0.23972374,0.657211201,0.577008151,0.412772177,0.351263617,0.650791168,0.580280376,0.742903491,0.752479134,0.117202454,0.096610055,0.150078425,-0.448768069,1,0,0,1,0,0,0,0,0,0
007 스펙터,1820842,2class,0.719068224,0.767902467,1.988997649,1.65728376,0.77367773,0.776110339,2.134165453,1.76974822,0.675058028,0.66481391,1.988153066,1.672463613,0.831515149,0.829400085,1.925213497,1.717186751,0.924354602,0.924861438,1.967558937,1.760785658,0.847057482,0.850538131,1.960123656,1.650441908,0.788464132,0.795417065,2.093265144,1.756470555,0.740211918,0.750273413,2.318203476,1.430634334,0.117202454,0.096610055,-0.555015454,-0.176328088,0,0,0,1,0,0,0,0,0,0
13시간,145952,1class,-0.65551432,-0.639918731,-0.413100376,-0.600214298,-0.674908044,-0.660006608,-0.470543396,-0.629744046,-0.671415185,-0.64870261,-0.487908409,-0.747252249,-0.680990214,-0.660097794,-0.513823476,-0.749772446,-0.686354706,-0.668582809,-0.508163166,-0.685457985,-0.684991568,-0.668343324,-0.477914331,-0.699002049,-0.68118563,-0.665101161,-0.380187708,-0.599297969,-0.67647948,-0.66183272,-0.82500072,-0.794190619,0.469200925,-0.736335509,-0.234746511,-0.43764807,1,0,0,1,0,0,0,0,0,0
19곰 테드,266574,1class,-0.626054105,-0.621683113,-0.930298515,-0.729155086,-0.629635575,-0.627530826,-0.964028121,-0.724627895,-0.687578975,-0.678217457,-0.951511409,-0.907284726,-0.70666366,-0.696137295,-0.994902492,-0.90908451,-0.678201481,-0.668563881,-0.939774411,-0.916118063,-0.65271734,-0.645849693,-0.915885227,-0.910675512,-0.640694294,-0.63322154,-1.034925227,-0.950766118,-0.630965383,-0.624818783,-0.669689454,-0.596832759,-0.374908105,-0.700888145,-0.555015454,-0.526608064,1,0,0,0,0,1,1,0,0,0
19곰 테드 2,170647,1class,-0.614116287,-0.598093091,-0.731081454,-0.762252186,-0.638770001,-0.623141857,-0.748824256,-0.795456684,-0.67434849,-0.651781062,-0.779416356,-0.907284726,-0.694155892,-0.672161897,-0.799779534,-0.889467726,-0.689613606,-0.671294499,-0.770582803,-0.798294401,-0.679648064,-0.662738154,-0.744346626,-0.783145538,-0.670405688,-0.654009487,-0.66754473,-0.712460062,-0.664318443,-0.649287597,-1.035780296,-0.88167194,-0.374908105,-0.700888145,-0.555015454,-0.487688066,1,0,0,0,0,1,1,0,0,0
23 아이덴티티,1675798,2class,0.318735598,0.143237845,0.119422153,-0.074108306,0.38087079,0.277182844,0.598055106,0.160731964,0.308804023,0.265821594,1.096068506,0.499512397,0.449641337,0.454719953,1.410492591,1.020493696,0.59841527,0.632317377,1.477248562,1.148601342,0.600419488,0.632001828,1.135278469,1.057493265,0.6106764,0.641629545,1.373053873,1.003609803,0.634382912,0.681249731,0.591290112,0.504732034,-0.300396344,0.093382453,-0.555015454,0.14059189,1,0,0,1,0,0,0,0,1,0
26년,2963652,3class,0.336014845,0.236338043,-0.114274784,-0.116858728,0.455735778,0.361059478,-0.040135666,-0.045740637,0.674537603,0.571583421,0.298811833,0.180688005,0.638986736,0.534876084,0.209477144,0.124660561,0.507626067,0.404051699,0.158244597,0.084447953,0.506850879,0.401715603,0.317732796,0.179245608,0.504654966,0.400626453,0.463696207,0.300007845,0.516357613,0.413082768,0.691133069,0.653100354,-0.132070521,0.756121591,-1.086375276,0.168391888,0,0,1,1,0,0,0,0,0,0
300: 제국의 부활,1593116,2class,0.191027608,0.281652523,0.686424557,1.081532117,0.356713632,0.492710376,0.664842513,1.104224884,0.667460379,0.833604666,0.706220529,1.206012362,0.601166252,0.745086024,0.599723059,1.062105056,0.436445528,0.551141826,0.541515382,0.977164797,0.38556801,0.494619932,0.638911453,1.039086877,0.348583715,0.454881419,0.7001292,1.139404316,0.314366293,0.418448952,0.313948565,0.678294974,-0.258827073,-0.443389422,1.013626168,-0.165208089,1,0,0,0,0,1,0,0,0,0
50가지 그림자: 심연,189620,1class,-0.562733469,-0.543019736,-0.202390023,-0.502302043,-0.58594842,-0.558534466,-0.244208297,-0.532187413,-0.625960092,-0.591457322,-0.294740493,-0.700110899,-0.657660573,-0.625011843,-0.345614029,-0.699838814,-0.656988757,-0.629606383,-0.349330228,-0.591947142,-0.644282334,-0.618734828,-0.258928883,-0.566870478,-0.647149731,-0.622424624,-0.94035203,-1.029313924,-0.642681316,-0.619778479,-1.013592972,-0.89426925,-0.742942771,-0.610739483,-0.555015454,-0.43764807,1,0,0,0,0,1,1,0,0,0
5백만불의 사나이,104736,1class,-0.633685838,-0.632386101,-0.539526588,-0.63124283,-0.647016295,-0.653683836,-0.600407797,-0.655135499,-0.692037376,-0.691965673,-0.695124901,-0.813622307,-0.712932496,-0.711127609,-0.732495756,-0.828239582,-0.710963736,-0.709931883,-0.670448994,-0.701666531,-0.704394748,-0.704403197,-0.627554387,-0.697687307,-0.708357733,-0.707209887,-1.391393432,-1.166439755,-0.703154876,-0.702396511,-1.253955646,-0.965654008,0.245546875,-0.765038588,0.820958812,-0.43764807,0,0,1,1,0,0,1,0,0,0
